,Eco,Eco Plus,Gender,Customer Type,Age,Type of Travel,Flight Distance,Wifi Service,Departure/Arrival,Online Booking,Gate Location,Food and Drink,Online Boarding,Seat Comfort,Inflight Entertainment,On-board Service,Leg Room,Baggage,Checkin Service,Inflight Service,Cleanliness,Departure Delay,Arrival Delay,Satisfaction
0,1,0,1.0,1.0,52,1.0,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44.0,1.0
1,0,0,1.0,1.0,36,1.0,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0.0,1.0
2,1,0,0.0,0.0,20,1.0,192,2,1,2,4,2,2,2,2,4,1,3,2,2,2,0,0.0,0.0
3,0,0,0.0,1.0,44,1.0,3377,1,1,1,2,3,4,4,1,1,1,1,3,1,4,0,6.0,1.0
4,1,0,1.0,1.0,49,1.0,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20.0,1.0
5,1,0,0.0,1.0,16,1.0,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0.0,1.0
6,0,0,1.0,1.0,77,1.0,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0.0,1.0
7,0,0,1.0,1.0,43,1.0,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65.0,1.0
8,1,0,0.0,1.0,47,1.0,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0.0,1.0
9,0,0,1.0,1.0,46,1.0,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14.0,1.0
10,1,0,1.0,1.0,47,1.0,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19.0,1.0
11,0,0,1.0,1.0,33,1.0,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7.0,0.0
12,0,0,1.0,1.0,46,1.0,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0.0,1.0
13,0,0,1.0,1.0,60,1.0,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113.0,1.0
14,0,0,1.0,1.0,52,1.0,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0.0,1.0
15,1,0,0.0,1.0,50,0.0,83,3,4,1,3,2,1,2,2,4,2,4,4,5,2,5,2.0,0.0
16,1,0,1.0,1.0,31,1.0,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0.0,0.0
17,0,1,0.0,1.0,52,0.0,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0.0,1.0
18,1,0,1.0,1.0,43,0.0,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0.0,0.0
19,0,0,1.0,1.0,50,1.0,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0.0,1.0
20,0,0,0.0,1.0,60,1.0,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49.0,1.0
21,1,0,0.0,1.0,43,0.0,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0.0,0.0
22,1,0,0.0,1.0,55,0.0,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0.0,0.0
